COD_RH; COD_PRODUCTO; COD_TIPO_PRODUCTO; NOMPRE_PRODUCTO; COD_TIPO_EVENTO; EVENTO_ASOCIADO; DATOS_COMPLEMENTARIOS; LUGAR; AÑO; AMBITO; PALABRAS_CLAVE; ÁREAS; SECTORES; COAUTORES; VINCULA_COAUTORES; EDITORIAL; VOLUMEN; PAGINAS; DOI; FINALIDAD; INSTITUCIONES_ASOCIADAS; TIPO_VINCULACION_INSTITUCION
0000228958;43;2;Comparación de la tensión disruptiva de dos columnas aislantes utilizando el método del esfuerzo simple;1;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;;La Habana;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;44;2;Caracterización de los varistores mediante una fuente de corriente de muy alta impedancia;1;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;;La Habana;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;45;2;Degradación de descargadores de sobretensión de óxido de metálico tipo distribución Estudio de caso Vereda el trigo Cundinamarca Colombia;1;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;;La Habana;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;46;2;Análisis de Sobretensiones y Energía Disipada en los Descargadores de Sobretensión en una Línea de Prueba Debido a Voltajes Inducidos por Descargas Subsecuentes del Rayo;1;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;;La Habana;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;47;2;Análisis Estadístico de Señales Inducidas por Descargas Subsecuentes del Rayo en una Línea de Prueba ubicada en La Palma Cundinamarca Colombia;1;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;;La Habana;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;48;2;Determinación del Voltaje Representativo en el Método del Esfuerzo Simple;1;ALTAE IV jornadas latinoamericans y I iberoamericanas en Alta Tensión y Aislamiento eléctrico;;MEDELLN;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;49;2;Medición y Reglamentación sobre Exposición a los Campos Eléctricos y Magnéticos de Extra Baja Frecuencia en Subestaciones Eléctricas Colombianas;1;ALTAE IV jornadas latinoamericans y I iberoamericanas en Alta Tensión y Aislamiento eléctrico;;MEDELLN;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;50;2;Modelamiento en AtpModels de Varistores y Tubos de Gas como Elementos de Protección en Baja Tensión;1;ALTAE IV jornadas latinoamericans y I iberoamericanas en Alta Tensión y Aislamiento eléctrico;;MEDELLN;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;51;2;Ecuación para Corrección de la Disrupción del Aire en Bogotá con Condiciones Controladas de Temperatura y Humedad para Ondas Tipo Maniobra en un Arreglo PuntaPlaca;1;ALTAE IV jornadas latinoamericans y I iberoamericanas en Alta Tensión y Aislamiento eléctrico;;MEDELLN;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;52;2;Breakdown characteristics of 500 mm and 250 mm long sparks over insulating surfaces;6; Eleventh International Symposium on HighVoltage Engineering ISH 99;;London UK;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;53;2;Las Fallas de los transformadores de distribucion un estudio de casos y Controles;6;Simposio Nacional CIDET;;BOGOT DC;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;54;2;The single stress method to Study the Physical Properties of Discharge Procfesses in Air;6;10th International Simposium on High Voltage Engineering ISH 97;;Montreal;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;55;2;The Principle of Operation of a single Electrostatic field Measuring Device;1;the 8th International Conference on Electrostatics;;Poiters;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;56;2;Comparison of the Breakdown Probability of two sphererod gaps one conventional and the other with a floating electrode;1;23rd International Conference on Lightning Protection ICLP96;;Firenze;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;57;2;Breakdown Characteristics of RodtoPlane Arrangements with Floating Electrodes on the High Voltage Side;6;Nordic Insulation Symposium NORDIS 96 Bergen 1012 1996 pages 355362;;Bergen;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;58;2;Electrocardiographic Alterations in Subjects Chronically Exposed to Nonionizing HighIntensity Electromagnetic Fields Radiovetenskap och Kommunikation 96 RVK 96;4;Annual meeting URSI;;Lille;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;59;2;The corona onset voltage as a function of the curvature radius of floating electrodes;1;XI International Conference on Gas Discharges and their Applications GD95;;Tokyo;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;60;2;The influence of a series microgap on the breakdown voltage of a complex gap arrangement containing floating electrodes FE;6;The 9th International Symposium on High Voltage Engineering ISH;;Graz;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;61;2;Electrical characteristics of insulated metallic bodies in a lightning breakdown field;1;22rd International Conference on Lightning Protection ICLP94;;Budapest;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
