COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000043214;1;Medalla al Mérito Universitario - Area de Ingenierías;Area;Ingenierías,UNIVERSIDAD NAIONAL DE COLOMBIA SEDE MANIZALES - de 2007;;
0000043214;2;Mención de tesis doctoral Très Honorable avec Félicitations;;1999;INSTITUT NATIONAL DES SCIENCES APPLIQUEES INSA LYON FRANCIA;
0000043214;3;Premio de Excelencia a la Mejor Tesis de Doctorado;;2001;ECOLE DE TECHNOLOGIE SUPERIEURE UNEVERSITE DU QUEBEC MONTREAL CANADA;
0000043214;4;Distinción Investigación Meritoria;;2006;FACULTAD DE INGENIERIA Y ARQUITECTURA UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MANIZALES;
0000043214;5;Becario de COLCIENCIAS;;1995;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000048046;1;MARIE CURIE FELLOW;Marzo;2005;COMUNIDAD EUROPEA MARIE CURIE;
0000048046;2;Delegada Colombiana por la universidad de Antioquia RED CYTED XV E- Preservar;Preservar,CYTED -;2002;;
0000048046;3;IV Curso Latinoamericano de Procesamiento de Materiales por Plasma;;2001;Buenos Aires (Argentina),BECA JICA;
0000048046;4;PREMIO OTTO DE GREIFF MEJOR TRABAJO DE GRADO A NIVEL NACIONAL EN EL ÁREA DE MEDIO AMBIENTE Y DESARROLLO SOSNTENIBLE;;2003;UNIVERSIDADES DEL PAIS;
0000048046;5;Summer School on Biocorrosion University of Portsmouth;;2002;BECADA POR BRITE EURAM III;
0000050989;1;Mención a la excelencia de trabajo final;;1995;UNIVERSIDAD NACIONAL DE SAN JUAN;
0000050989;2;Becario O.E.A. - ICETEX;ICETEX,PROGRAMA DE ADIESTRAMIENTO DE PAISES EN DESARROLLO -;1994;;
0000054070;1;Best Technical Presentation Award session WeP14 ¿ Applied Fuzzy Modeling and Control;;2004;AMERICAN CONTROL CONFERENCE;
0000054321;1;Grado con honores;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000088633;1;Beca doctoral;;2002;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000099112;1;Beca AlBan;Agosto;2003;ALBAN AMERICA LATINA BECAS DE ALTO NIVEL DE LA COMUNIDAD EUROPEA;
0000105244;1;Academia Integral Meritoria;Agosto;2006;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000105244;2;Director de Trabajo de Grado de Maestría con Distinción meritoria;;2001;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000105244;3;Director de Mejor Trabajo de grado;;2001;2001,CONSEJO PROFESIONAL DE INGENIERIA QUIMICA;
0000105244;4;Director de Mejor Trabajo de Grado;;2002;2002,CONSEJO PROFESIONAL DE INGENIERIA QUIMICA;
0000105260;1;Tesis meritoria;Junio;2016;UNIVERSIDAD NACIONAL DE COLOMBIA;
0000105260;2;Evaluador en Concursos docentes;;2002;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000105260;3;Coordinador del Proceso de reorganización de la Facultad de Ingeniería de la Universidad Nacional de Colombia;;2001;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000105260;4;Coordinador del proceso de reorganización de la Facultad de Ingeniería de la Universidad Nacional de Colombia;;2001;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000105260;5;Primer puesto en la conferencia científica de la universidad en el área de Biotecnología;;1992;UNIVERSIDAD DE QUIMICA FINA;
0000105260;6;Primer puesto en la facultad preparatoria;;1986;UNIVERSIDAD DE QUIMICA FINA;
0000105260;7;Primer puesto en la conferencia científica de la universidad en el área de Biotecnología;;1992;UNIVERSIDAD DE QUIMICA FINA;
0000105260;8;Evaluador del concurso: Premio Colombiano a la innovación tecnológica;Innova2005,MINISTERIO DE COMERCIO REPUBLICA DE COLOMBIA -;2005;empresarial;
