COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000343854;1;Tesis Laureada;Marzo;2011;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000348252;1;Top 5 - Green and Sustainable Chemistry 2016;Green and Sustainable Chemistry 2016,ELSEVIER SCIENCE - Mayo;2017;;
0000348252;2;Beca a mejor promedio en maestría en Ingeniería Química;Marzo;2001;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000348252;3;Nominación a mejor estudiante de Postgrado;Septiembre;2010;MICHIGAN STATE UNIVERSITY;
0000348252;4;Docencia Excepcional;Mayo;2014;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000348252;5;Beca Fulbright-COLCIENCIAS-DNP para estudio de doctorado en el exterior;OLCIENCIAS-DNP para estudio;doctorado en el exterior,COLCIENCIAS DNP FULBRIGHT - Marzode 2007;;
0000348252;6;Mención meritoria en tesis de maestría en Ingeniería Química;Marzo;2003;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000352306;1;John Howard Memorial Award;Septiembre;2015;INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS IEEE;
0000352306;2;Best applied paper award - Sensor and Simulation series of notes 2010-2012;Sensor and Simulation series of notes 2010-2012,SUMMA FOUNDATION - Julio;2012;;
0000352306;3;Frank Gunther Award;Noviembre;2011;RADIO CLUB OF AMERICA;
0000352306;4;URSI Young Scientist Award 2008;Agosto;2008;UNION RADIO SCIENTIFIQUE INTERNATIONAL URSI;
0000352306;5;Medalla Andres Bello;Diciembre;1990;INSTITUTO COLOMBIANO PARA LA EVALUACION DE LA EDUCACION;
0000375128;1;Becario Programa de Excelencia Académica - Universidad Externado de Colombia;Universidad Externado;Colombia,UNIVERSIDAD EXTERNADO DE COLOMBIA - Mayode 2015;;
0000401439;1;Calificación Meritoria;Diciembre;2016;UNIVERSIDAD NACIONAL DE COLOMBIA;
0000401439;2;Calificación Laureada;Marzo;2017;UNIVERSIDAD NACIONAL DE COLOMBIA;
0000401439;3;Calificación meritoria;Diciembre;2011;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000406759;1;Ganador del concurso para el Diseño de un dispositivo para colocación segura de vasos plásticos después de pintarlos;;2001;EMPRESA QUALYPLASTICOS;
0000406759;2;Mejor tesis de maestría;;2002;INANDES Y DEPARTAMENTO DE INGENIERIA MECANICA DE LA UNIVERSIDAD DE LOS ANDES;
0000406759;3;Tesis de grado de pregrado con calificación excelente;;2000;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000406759;4;Estudiante distinguido primer semestre de 1999 en la Universidad Industrial de Santander.;;1999;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000406759;5;Estudiante distinguido segundo semestre de 1998 en la Universidad Industrial de Santander.;;1998;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000406759;6;Beca del 100% para realizar los estudios de Maestría;;2000;UNIVERSIDAD DE LOS ANDES UNIANDES;
0000407984;1;Tesis meritoria;Junio;2006;UNIVERSIDAD SANTO TOMAS;
0000407984;2;Tesis Meritoria;;2001;UNIVERSIDAD SANTO TOMAS;
0000418552;1;Mención Meritoria Tesis de Maestría en Ingeniería-Geotecnia (codirección);eotecnia (codirección),UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Julio;2010;;
0000418552;2;Mención meritoria - Tesis de Doctorado en Ingeniería - Geotecnia;Tesis;Doctorado en Ingeniería - Geotecnia ,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Agostode 2011;;
0000418552;3;Beca por mejor promedio semestre 01 de 2000 - Maestría en Ingeniería Geotecnia;Maestría en Ingeniería Geotecnia,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Agosto;2000;;
0000418552;4;Mención meritoria Tesis de Maestría en Ingeniería - Geotecnia (codirección);Geotecnia (codirección),UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Mayo;2009;;
0000418552;5;Becario COLCIENCIAS - Programa de Apoyo a Formación Doctoral;Programa;Apoyo a Formación Doctoral, año 2005,DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS - Agostode 2005;;
0000418552;6;Nominación a Director del Programa de Ingeniería Civil UNIVERSIDAD DE LA SALLE;Diciembre;2011;UNIVERSIDAD DE LA SALLE UNISALLE;
0000418552;7;Premio al Mérito Investigativo - Año 2012;Año 2012,ASOCIACION DE INGENIEROS CIVILES DE LA UNIVERSIDAD NACIONAL - Noviembre;2012;;
0000418552;8;Nominación al Premio Gerald Leonards a mejor trabajo de investigación en postgrado;Octubre;2003;en el marco de las XII Jornadas Geotécnicas de la Sociedad Colombiana de Ingenieros,SOCIEDAD COLOMBIANA DE INGENIEROS COMISION DE GEOTECNIA;
0000418552;9;Segundo puesto a Mejor Investigación Universidad de La Salle.;Febrero;1999;UNIVERSIDAD DE LA SALLE UNISALLE;
0000418552;10;Mejor promedio académico promoción 2/1998 Facultad de Ingeniería Civil;Marzo;1999;UNIVERSIDAD DE LA SALLE UNISALLE;
0000418552;11;Mención meritoria tesis de Magíster en Geotecnia;Agosto;2003;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000418790;1;Tesis de Grado Meritoria;Julio;2013;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000418790;2;Tesis de Grado Meritoria;Octubre;2012;;
0000418790;3;Mención: Tesis de Grado Meritoria. Pregrado en Ingeniería Mecánica;;1987;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000425125;1;Mejor proyecto terminado modalidad de Semilleros Nodo Cundinamarca - Bogota;Bogota ,FUNDACION REDCOLSI - Mayo;2017;;
0000436836;1;Trabajo de Tesis Meritorio;;2003;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000437204;1;International Student Achievement Award	2015 - Jack Wolf Scholarship;Jack Wolf Scholarship,THE COLLEGE OF WILLIAM AND MARY - Enero;2015;;
0000437204;2;Best Presentation Award;International Conference on Software Maintenance and Evolution 2015, - Enero;2015;Industry Track;
0000437204;3;First Place Graduate Student Winner of the ACM Student Research Competition at ICSE 2015;Mayo;2015;ASSOCIATION FOR COMPUTING MACHINERY;
0000437204;4;ACM SIGSOFT Distinguished Paper Award - FSE 2015;FSE 2015,ASSOCIATION FOR COMPUTING MACHINERY - Septiembre;2015;;
0000437204;5;Best Paper Award;Septiembre;2013;29th IEEE International Conference on Software Maintenance (ICSM¿13),;
0000437204;6;Stephen K. Park Graduate Research Award;Diciembre;2015;COMPUTER SCIENCE DEPARTMENT THE COLLEGE OF WILLIAM AND MARY;
0000437204;7;ACM SIGSOFT Distinguished Paper Award;Mayo;2016;24th International Conference on Program Comprehension (ICPC 16),ASSOCIATION FOR COMPUTING MACHINERY;
0000437204;8;Sun Certified Java Assocciate for the Java Plattform;;2007;SUN MICROSYSTEMS;
0000437204;9;Mejor Presentación de Ponencia CIIC 2005;;2005;CORPORACION UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM UNISINU;
0000438413;1;Mención primer puesto dirección mejor trabajo de grado de Ingeniería Química;;1997;CONSEJO PROFESIONAL DE INGENIERIA QUIMICA;
0000438413;2;Mención segundo puesto dirección mejor trabajo de grado;;2003;CONSEJO PROFESIONAL DE INGENIERIA QUIMICA;
0000439185;1;INVESTIGACIÓN MERITORIA;Agosto;2014;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000439185;2;Reconocimiento Director mejor proyecto de grado;;2004;UNIVERSIDAD DEL VALLE SEDE PALMIRA;
0000439185;3;Docencia Excepcional;Enero;2001;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000439185;4;Desempeño significativamente superior;Enero;2001;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000439185;5;Desempeño significativamente superior;Enero;2003;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000439185;6;Desempeño significativamente superior;Enero;2005;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000439185;7;Desempeño significativamente superior;Enero;2004;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000439185;8;Desempeño significativamente superior;Enero;2002;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000441112;1;Docencia Excepcional: Acta 19 Resolución 105 de 1998.;;1998;CONSEJO SUPERIOR UNIVERSITARIO DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000441112;2;Docencia Excepcional: Acta 15 Resolución 067 de 2001.;;2001;CONSEJO SUPERIOR UNIVERSITARIO DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000441570;1;Premio a la docencia excepcional;;1993;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000441570;2;Premio a la docencia excepcional;;1995;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000441570;3;Premio a la docencia excepcional;;2003;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000441570;4;Premio a la docencia excepcional;;1999;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000441570;5;Premio a la docencia excepcional;;1994;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000441570;6;Mejor estudiante de bachillerato;;1975;COLEGIO INEM JORGE ISAACS;
0000441570;7;Mejor estudiante en la promocion de la universidad del programa integrado;;1982;UNIVERSIDAD NACIONAL DE COLOMBIA UNIVERSIDAD DEL VALLE;
0000441570;8;Mencion de la Facultad de Ingenieria;;1989;UNIVERSIDAD NACIONAL DE COLOMBIA UNIVERSIDAD DEL VALLE;
0000441570;9;Segundo y Tercer lugar en el premio nacional Mariano Ospina Perez sobre la aplicacion de los computadores a la agricultura;;1991;;
0000447137;1;Practicas a la excelencia para la investigación y la innovación;Noviembre;2015;subcategoría docente investigador,UNIVERSIDAD SANTO TOMAS;
0000447137;2;Kobori prize for best paper-2013 (Structural control Health Monitoring;013 (Structural control Health Monitoring, Wiley International Journal),JOHN WILEY SONS HOBOKEN NJ USA - Julio;2016;;
0000447137;3;Tesis meritoria;Agosto;2016;UNIVERSIDAD SANTO TOMAS;
0000447137;4;Tesis doctoral con calificación Excelente;Julio;2016;UNIVERSITAT POLITECNICA DE CATALUNYA;
0000447137;5;Tesis doctoral CUM LAUDEN;Enero;2013;UNIVERSIDAD POLITECNICA DE CATALUNYA;
0000447137;6;indexación en Thomson Reuters;Enero;2014;THOMSON REUTERS;
0000447137;7;primera muestra tecnica E3T;;2000;CENTRO DE ESTUDIOS DE INGENIERIA ELECTRICA ELECTRONICA Y TELECOMUNICACIONES;
0000447137;8;Estudiante becado de la Maestria;;2004;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000447137;9;Estudiante Distinguido;;2001;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000447137;10;Estudiante becado de la Maestría;;2004;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000447137;11;estudiante becado de la maestria;;2005;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000449695;1;Trabajo de Grado con distinción Laureada;Abril;2014;UNIVERSITA DEGLI STUDI DI FIRENZE;
0000449695;2;Artículo en la categoría State of Science;Septiembre;2014;;
0000449695;3;Matrícula de Honor;Marzo;2000;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000449695;4;Becario del Programa Académicos en Formación;Agosto;2003;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000449695;5;Matrícula de Honor;Abril;1999;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000449695;6;Programa Mejores Bachilleres del país;Noviembre;1995;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000449695;7;Tesis de Grado: Mención Meritoria;Junio;2002;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000449695;8;Excelencia Académica como Docente;Mayo;2006;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000462411;1;Doctorado Sobresaliente (equivalente graduado con Honores);;2005;UNIVERSIDAD NACIONAL DE SAN JUAN;
0000462411;2;German Scholarship Award;;2000;DAAD SERVICIO ALEMAN DE INTERCAMBIO ACADEMICO;
0000462411;3;Short-term Scholarship Award;erm Scholarship Award,DAAD SERVICIO ALEMAN DE INTERCAMBIO ACADEMICO -;2002;;
0000462411;4;Beca de estadia de investigación posdoctoral;;2006;GRUPO COIMBRA K U L UNIVERSIDAD CATOLICA DE LOVAINA;
0000462411;5;Exencion de Pago derechos de Matrícula;;1996;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000462411;6;Dos Exencion de pago derechos de matrícula;;1997;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000462411;7;Dos Matricula de Honor;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000462411;8;Dos Exencion de pago derechos de matrícula;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000462411;9;Dos Matricula de Honor;;1997;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000462411;10;Dos Exencion de pago derechos de matrícula;;1999;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000462411;11;Exencion de pago derechos de matrícula;;2000;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000462411;12;Mejor Estudiante Graduado (Ingeniería Eléctrica);;2000;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000462411;13;Dos Matricula de Honor;;1999;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000463388;1;Mención Meritoria;Noviembre;2011;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000471801;1;Segundo Lugar en el Premio Nacional de Periodismo Ambiental CAR-Quindío. 2010.;uindío. 2010. ,CORPORACION AUTONOMA REGIONAL QUINDIO - Junio;2010;;
0000471801;2;Tercer Lugar en el Premio Nacional de Periodismo Ambiental CAR-Quindío. 2010.;uindío. 2010. ,CORPORACION AUTONOMA REGIONAL QUINDIO - Enero;2010;;
0000471801;3;Primer Lugar en el Premio Nacional de Periodismo Ambiental CAR-Quindío. 2010.;uindío. 2010. ,CORPORACION AUTONOMA REGIONAL QUINDIO - Noviembre;2010;;
0000471801;4;Miembro Consejo de la Facultad de Ciencias Humanas;Junio;2012;Delegado del Consejo Superior de la Universidad Nacional. 2012. ,CONSEJO SUPERIOR DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000471801;5;Mención Especial por la contribución a la reinversión del Carnaval Universitario UN 2010.;Agosto;2010;CONSEJO DE LA SEDE BOGOTA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000471801;6;MENCIÓN ESPECIAL DE LA ORDEN CIVIL AL MÉRITO PERIODÍSTICO ÁLVARO GÓMEZ HURTADO 2010;Agosto;2010;CONCEJO DE BOGOTA;
0000471801;7;Tercer Lugar en el Premio Nacional de Periodismo Ambiental CAR-Quindio. 2011.;uindio. 2011. ,CORPORACION AUTONOMA REGIONAL QUINDIO - Agosto;2011;;
0000471801;8;Segunda Mención en el Premio Nacional de Periodismo Ambiental AMWAY. 2009;Noviembre;2009;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000471801;9;Mención Meritoria a la Extensión de la Facultad de Ingeniería. Concedida por el Consejo de la Facultad de Ingeniería de la Universidad Nacional;Diciembre;2006;;
0000471801;10;Attaché Temporaire d´Enseignement et de Recherche -ATER;TER,UNIVERSIDAD PARIS 13 - Septiembre;2007;;
0000471801;11;Tercer lugar en el Premio Nacional de Periodismo Ambiental CAR-Quindio.Concedido al Programa UN ANÁLISIS. Miércoles de Ciencia;uindio.Concedido al Programa UN ANÁLISIS. Miércoles;Ciencia, Tecnología e Innovación., - Octubrede 2008;;
0000471801;12;Premio Nacional al Merito Científico. En la Categoría Divulgación de la Ciencia.;Noviembre;2007;;
0000471801;13;Beca para Cursar el Programa Doctoral en Ciencias de Gestión. 2007-2010;010, - Septiembre;2007;;
0000471801;14;Beca Internacional de la Asociation Overseas Training Service de Japón y la Japanese Union from Scientists and Engineers. Tokio Japón.;Marzo;2003;QUALITY MANAGEMENT PROGRAM;
0000471801;15;Pasantia internacional en Modelos de atención y gestión de tecnologia .;;2004;PANAMERICAN HEALTH ORGANIZATION;
0000471801;16;BECA EN EL POSGRADO DE ECONOMIA;;1989;CONSEJO DIRECTIVO FACULTAD DE ECONOMIA UNIVERSIDAD NACIONAL;
0000471801;17;Mención Meritoria a la Tesis de Grado Eficacia y Estrategia en el Sector Automotriz Colombiano;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE ECONOMIA SEDEBOGOTA;
0000471801;18;Reconocimiento en los Diez Años del Centro de Gestión Hospitalaria por la Formulación y Ejecución de Proyectos de Impacto en la Gestión Integral y en la Calidad.;;2002;ORGANIZACION PARA LA EXCELENCIA DE LA SALUD;
0000472824;1;Mencion Laureada Tesis Doctoral;Diciembre;2011;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000472824;2;Mención Meritoria Trabajo de Maestría;Noviembre;2007;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000479063;1;Candidata a medalla al mérito Universidad Nacional de Colombia - Segundo Lugar;Segundo Lugar,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL -;2001;;
0000480231;1;Beca de Investigación - Universidad Autónoma de Madríd;Universidad Autónoma;Madríd,UNIVERSIDAD AUTONOMA DE MADRID - Febrerode 2004;;
0000480231;2;Beca del Instituto Colombiano de Estudios en el Exterior - Universidad Complutense de Madríd;Universidad Complutense;Madríd,CONVENIO ENTRE EL GOBIERNO COLOMBIANO Y LA UCM ESTUDIOS POSGRADO - Octubrede 1999;;
0000480231;3;Beca de Investigación - Universidad Autónoma de Madríd;Universidad Autónoma;Madríd,UNIVERSIDAD AUTONOMA DE MADRID - Febrerode 2001;;
0000480231;4;Beca de la Unidad de Servicios de Computación 1992 - 1994;1994,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Febrero;1992;;
0000486388;1;Excelencia;Febrero;2008;actitud y compromiso con la calidad,AVANTEL S A;
0000486388;2;Mejor reporte técnico de PhD;Noviembre;2010;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000486388;3;Mención profesor destacado de la Facultad de Ingeniería de Sistemas;Mayo;2014;UNIVERSIDAD ANTONIO NARINO;
0000486388;4;Distinción Laureada Tesis de Doctorado;Octubre;2014;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000486388;5;Proyecto seleccionado por el Ministerio de Educación y RENATA como emblemático para ser presentado ante la OEA;Febrero;2010;MINISTERIO DE EDUCACION NACIONAL MINEDUCACION;
0000494135;1;Beca de Postgrado;;2000;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000495360;1;Medalla de plata. Concuro Nacionalde Conocimientos de Física;;1992;MINISTERIO DE EDUCACION NACIONAL MINEDUCACION;
0000495360;2;Graduado con Titulo de Oro;;1997;UCF;
0000495360;3;Vanguardia Nacional por los resultados cientifico-técnicos alcanzados en la emulación individual;écnicos alcanzados en la emulación individual,UCF -;2003;;
0000495360;4;Premios provinciales: Análisis de causas y efectos de la avería del compresor de amoniaco 20FW 400 da la filiar del Frigorífico Cienfuegos de la Corporación del Caribe;;2002;ACADEMIA DE CIENCIAS DE CUBA CITMA;
0000495360;5;Premios provinciales: Evaluación de la Integridad Estructural De Recipientes para el Alamacenamiento de Hidrógeno en la Refineria de Petroleo Ñico Lopez en presencia de Defectos Interiores en la Pared;;2003;ACADEMIA DE CIENCIAS DE CUBA CITMA;
0000495360;6;Premios provinciales:Esquema de análisis para los árboles de los molinos de caña de azucar y aplicación de la mecánica de fractura en la evalución de la falla por fatíga;;2004;ACADEMIA DE CIENCIAS DE CUBA CITMA;
0000495360;7;Premios provinciales:Evaluación de la Fractura por Fatíga del Cigueñal de la Moto Nave Mar del Sur;;2003;ACADEMIA DE CIENCIAS DE CUBA CITMA;
0000495360;8;Premios provinciales: Efecto del Tratamiento Magnético del Combustible en la Eficiencia de Motores Diesel;;2001;ACADEMIA DE CIENCIAS DE CUBA CITMA;
0000495360;9;Premios provinciales: Estrategia para incrementar la fiabilidad y eficiencia de los molinos de caña de azucar;;2005;ACADEMIA DE CIENCIAS DE CUBA CITMA;
0000495360;10;Mención. V Olimpiada Nacinoal de Física;;1992;ACADEMIA DE CIENCIAS DE CUBA;
0000498920;1;Mejor Promedio Académico del Programa de Maestría en Ingneiría - Materiales y Procesos;Materiales y Procesos,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Enero;2008;;
0000499625;1;Premio extraordinario de Doctorado;Enero;2016;UNIVERSIDAD DE ALICANTE;
0000499625;2;Mejor artículo científico en el I Simposio en Computación Empotrada;Septiembre;2010;SiCE 2010. CEDI 2010.,CONGRESO ESPANOL DE INFORMATICA;
0000499625;3;Condecoración Orden Cruz de los Fundadores en el grado de Oficial. Alcaldía de Pereira;Agosto;2007;ALCALDIA DE PEREIRA;
0000499625;4;Condecoración Orden al Mérito Empresarial Gobernación de Risaralda;Octubre;2007;GOBERNACION DE RISARALDA;
0000499625;5;Segundo mejor artículo científico en las X Jornadas de Computación Reconfigurable y Aplicaciones JCRA 2010;Septiembre;2010;JORNADAS DE COMPUTACION RECONFIGURABLE Y APLICACIONES;
0000499625;6;Reconocimiento especial en el III concurso anual de planes de negocio y empresas constituidas;Agosto;2006;MINISTERIO DE COMERCIO E INDUSTRIA;
0000499625;7;Primer puesto en la categoría general del concurso Ventures Revista Dinero;Noviembre;2007;REVISTA DINERO;
0000499625;8;Tesis maestría mención laureado Universidad Tecnológica de Pereira;Febrero;2012;UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP;
0000499625;9;Beca convocatoria pública estudiantes de doctorado Universidad de Alicante - 4 años;4 años,UNIVERSIDAD DE ALICANTE - Julio;2007;;
0000499625;10;Tesis doctoral sobresaliente cum laude Universidad de Alicante (máxima calificación en España);Noviembre;2011;UNIVERSIDAD DE ALICANTE;
0000499625;11;Premio en reconocimiento al exitoso desempeño en la competición: 2007 Talent and Innovation Competition of the Americas;Junio;2007;TIC Americas 2007,TIC AMERICAS;
0000499625;12;Uno de los tres nominados al premio Michael Servit¿ en 20th IEEE International Conference on Field Programmable Logic and Applications FPL 2010;Septiembre;2010;IEEE INTERNATIONAL CONFERENCE ON FIELD PROGRAMMABLE LOGIC AND APPLICATIONS;
0000499625;13;Mención especial de reconocimiento a egresado de la Universidad Tecnológica de Pereira;Agosto;2006;UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP;
0000499625;14;Premio The best social entrepreneurship en el evento 2007 GloblalTIC Talentrepreneur Award and Forum;Julio;2007;GLOBLALTIC;
0000499625;15;Primer puesto en la subcategoría mayor potencial exportador del concurso Ventures Revista Dinero;Noviembre;2007;REVISTA DINERO;
0000499625;16;Diploma de Estudios Avanzados en el área de Arquitectura y Tecnología de Computadores.;Julio;2009;UNIVERSIDAD DE ALICANTE;
0000499625;17;Tesis Laureada;Diciembre;2004;UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP;
0000499625;18;Matricula de honor (7 veces);;1999;UTP;
0000499625;19;Mencion Estudiante distinguido;Diciembre;2004;UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP;
0000499625;20;Mejor ECAES de la UTP en 2003 (80/100);;2003;UTP;
0000499625;21;Mencion Estudiante distinguido;Abril;2005;CENTRO COLOMBO AMERICANO;
0000505013;1;Mejor Ponencia;Agosto;2015;V Congreo Internacional de Carbón y Combustibles Alternativos,CONGRESO NACIONAL E INTERNACIONAL DEL CARBON Y COMBUSTIBLES ALTERNATIVOS;
0000505013;2;Premio Nacional al Inventor - Ramiro Castro;Ramiro Castro,BRIGARD CASTRO BRIGARD URRUTIA -;2007;;
0000505013;3;PATENTA 2005;;2005;DIRECCION DE INVESTIGACIONES UNIVERSIDAD NACIONAL DE COLOMBIA;
0000505013;4;Premio Mariano ospina Perez 2007-2008;008,INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIOS TECNICOS EN EL EXTERIOR ICETEX - Noviembre;2008;;
0000508586;1;Presentación de Poster| Segundo Puesto;;2004;FRAUNHOFER INSTITUT FOR CHEMICAL TECHNOLOGY ICT PFINZTAL GERMANY;
0000508586;2;Beca;;2003;FELLOWSHIP PF THE KATHOLISCHE STUDIEREN UND HOCHSCHULGEMRINDE FUR WISSENSCHAFT KULTUR UND FORSCHUNG;
0000517020;1;Jose Alberto Alvarado Jimenez. Docensia de Excelencia;Mayo;2012;CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA;
0000517623;1;Beca auxiliar docente;Agosto;2012;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000537071;1;Segundo puesto categoría pregrado: V PREMIO ACTA A LA INVESTIGACIÓN EN ALIMENTOS. 9° Congreso Nacional de Ciencia y Tecnología de Alimentos;Mayo;2008;ASOCIACION COLOMBIANA DE CIENCIA Y TECNOLOGIA DE ALIMENTOS;
0000553557;1;Ventures 2000;;2000;REVISTA DINERO;
0000559105;1;Mejor tesis de pregrado del programa de Ingeniería Mecánica;Abril;2010;;
0000575283;1;Tesis de doctorado meritoria;Agosto;2011;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000575283;2;Becario en el Programa de Admisiones Especiales;;1997;en la modalidad ¿mejores bachilleres del país¿,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000575283;3;Becario en el programa ¿estudiantes sobresalientes de posgrado¿;;2005;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000575283;4;Becario al Mejor promedio del programa de Maestría en Ingeniería Química¿;;2004;FACULTAD DE INGENIERIA U NACIONAL;
0000575283;5;Becario docente auxiliar (maestría);;2006;FACULTAD DE INGENIERIA U NACIONAL;
0000575283;6;Becario Docente auxiliar (doctorado);;2007;FACULTAD DE INGENIERIA U NACIONAL;
0000584223;1;Premio Fundación Alejandro Ángel Escobar Categoría Medio Ambiente y Desarrollo Sostenible;Septiembre;2013;FUNDACION ALEJANDRO ANGEL ESCOBAR;
0000584223;2;Programa Jóvenes Investigadores e Innovadores 2006;;2006;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000616885;1;Primer lugar Concurso de Trabajos de Grado ¿Fabio Chaparro¿;;2007;EMPRESA DE ENERGIA DE BOGOTA;
0000616885;2;Trabajo de Grado Laureado;;2005;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000634557;1;Mejor Bachiller Colegio Hispano Inglés;Diciembre;1978;COLEGIO HISPANO INGLES;
0000634557;2;Catedrática Emérita;Septiembre;2012;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000639508;1;Orden al Mérito Julio Garavito. Gran Oficial;Mayo;2014;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000639508;2;Tesis Suma Cum-Laude;aude, - Mayo;2010;;
0000639508;3;Beca Exploradoc;;2007;REGION RHONE ALPES;
0000639508;4;Beca;;2005;CENTRO DE ESTUDIOS EN FRANCIA CEF;
0000641413;1;Mención Honorífica por ser parte de los diez (10) mejores estudiantes a nivel nacional;programa;Ingeniería Civil,MINISTERIO DE EDUCACION NACIONAL MINEDUCACION - de 2004;en el ECAES de 2003;
