Departamento;     Documento;     Nombres;     Apellidos;     Observaciones;     Otros Autores;     Vinculación_Otros_Autores;     Tipo_Producto;     Nombre_Producto_Asociado;    Evento;     Año_Inicio;     Mes_Inicio;     Fecha_Inicio;     Año_Fin;     Mes_Fin;     Fecha_Fin;     País;     Ciudad;     Ambito;     Financiación;     Instituciones;     Vinculación_Instituciones;     Observaciones
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Otro;Breakdown effect on long gaps under switching impulses statiscal variation;2008 29th International Conference on Lightning Protection ICLP;2008;06;2008-06-23;2008;06;2008-06-26;-;Upsala   - Upsala, Suecia;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Upsala University;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Otro;Behaviour of the shoe-to-earth contact under lightning like current impulses;2008 29th International Conference on Lightning Protection ICLP;2008;06;2008-06-23;2008;06;2008-06-26;-;Upsala   - Upsala, Suecia;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Upsala University;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Otro;Lightning attachment to common structures: is the rolling sphere method really adequate?;2008 29th International Conference on Lightning Protection ICLP;2008;06;2008-06-23;2008;06;2008-06-26;-;Upsala   - Upsala, Suecia;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Upsala University;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Otro;Behaviour of the shoe-to-earth contact under lightning like current impulses;29th International Conference on Lightning Protection;2008;01;2008-01-01;-;-;-;-;IBAGUÉ;;Sin Información;Universidad Nacional de Colombia - Sede Bogotá;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Otro;Lightning attachment to common structures: is the rolling sphere method really adequate?;29th International Conference on Lightning Protection;2008;01;2008-01-01;-;-;-;-;IBAGUÉ;;Sin Información;Universidad Nacional de Colombia - Sede Bogotá;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Radiating Broad- Band pulse generator with Corona charging mechanism;European electromagnetics (EUROEM 2008);2008;07;2008-07-21;2008;07;2008-07-25;-;Lausanne   - Lausanne, Suiza;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Swiss Federal Institute For Environmental Science And Technology;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Investigation on the transmisión of a DC current through a space gap;European electromagnetics (EUROEM 2008);2008;07;2008-07-21;2008;07;2008-07-25;-;Lausanne   - Lausanne, Suiza;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Swiss Federal Institute For Environmental Science And Technology;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Simposio;Corona Charged Subnanosecond Impulse Generator;The 20th International Zurich Symposium on Electromagnetic Compatibility;2009;01;2009-01-01;-;-;-;-;BOGOTÁ, D.C.;;Sin Información;Universidad Nacional de Colombia - Sede Bogotá;Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Design and Construction of a Compact Electrostatic Fast Impulse Current Generator;2005 IEEE Pulsed Power Conference;2005;01;2005-01-01;-;-;-;-;BOGOTÁ, D.C.;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente;Congreso;Design and Construction of a Corona Charged High Power Impulse Generator;2009 Pulsed Power Conference, PPC '09;2009;06;2009-06-28;2010;07;2010-07-02;-;Washington DC   - Washington DC, USA;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A.;Patrocinador;-
