COD_RH;     COD_PRODUCTO;     COD_TIPO_PRODUCTO;     NOMPRE_PRODUCTO;     COD_TIPO_EVENTO;     EVENTO_ASOCIADO;     DATOS_COMPLEMENTARIOS;     LUGAR;     AÑO;     AMBITO;     PALABRAS_CLAVE;     ÁREAS;     SECTORES;     COAUTORES;     VINCULA_COAUTORES;     EDITORIAL;     VOLUMEN;     PAGINAS;     DOI;     FINALIDAD;     INSTITUCIONES_ASOCIADAS;     TIPO_VINCULACION_INSTITUCION
0000228958;166;8;Comparison of the breakdown voltage of two insulating columns using the single Stress Method;;;;Brasil;2002;;;;;FRANCISCO JOSE ROMAN CAMPOS, MARLEY BECERRA GARCIA,;;Universidad De Sao Paulo;1;;;;;
0000228958;167;8;Construcción de un generador de impulsos de Corriente y del sistema Asociado de medida, para ensayo de pararrayos;;;;Colombia;1985;;;;;FILIBERTO BOJACA, CARLOS ANTONIO GOMEZ VARGAS, FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO JAVIER AMORTEGUI GIL,;;Universidad Nacional de Colombia;3;;;;;
0000228958;168;8;Experimental Study of Conventional Metal-Oxide Distribution surge arresters with an intentionally connected series gap;;;;Brasil;2003;;;;;FRANCISCO JOSE ROMAN CAMPOS, ORTIZ HELMUTH,;;Institute Of Electrotechnics And Energy Of The University Of Sao Paulov.7                    fasc.N/A                    p.1                    - 5                    ,2003,                     DOI:;7;;;;;
0000228958;169;8;Analisis de las fallas en transformadores de distribución causadas por la operación del pararrayos ante sobretensiones externas;;;;Colombia;1991;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;Universidad Nacional de Colombia;1;;;;;
0000228958;170;8;The First Lightning Measurement in the Field in Colombia;;;;Alemania;1992;;;;;FRANCISCO JOSE ROMAN CAMPOS, ANTONIO MEJIA,;;VDE-Verlag GmbH;1;;;;;
0000228958;171;8;Positive corona current simulation in a non-uniform coaxial arrangement;;;;Estados Unidos;2005;;;;;FRANCISCO JOSE ROMAN CAMPOS, LILIANA PATRICIA AREVALO GONZALEZ, MARLEY BECERRA GARCIA,;;;2;;;;;
0000228958;172;8;Analysis of a Lightning Accident in Gavle, Sweden;;;;Brasil;2005;;;;;JORGE ALEXANDER ALARCON VILLAMIL, FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO SANTAMARIA PIEDRAHITA,;;Institute Of Electrotechnics And Energy Of The University Of Sao Paulov.130                    fasc.N/A                    p.1                    -                     ,2005,                     DOI:;130;;;;;
0000228958;173;8;Prácticas Docentes de Alta Tensión para fines didácticos en Ingeniería;;;;Colombia;1986;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;Universidad Nacional de Colombia;4;;;;;
0000228958;174;8;A new method to obtain the degradation of surge arresters using an Extra High Impedance DC Current Source;;;;Brasil;2003;;;;;GAMBOA L, FRANCISCO JOSE ROMAN CAMPOS, JORGE ALEXANDER ALARCON VILLAMIL, MARTINEZ J,;;Institute Of Electrotechnics And Energy Of The University Of Sao Paulov.1                    fasc.N/A                    p.1                    -                     ,2003,                     DOI:;1;;;;;
0000228958;175;8;Influence of humanity on the breakdown voltage of a sphere-sphere gap ar 2600 m osl;;;;Países Bajos;2003;;;;;FRANCISCO JOSE ROMAN CAMPOS, BEJARANO LILIANA, ROMERO ANDRES,;;Delf University;1;;;;;
0000228958;176;8;Electrical characteristics of insulated metallic bodies in a lightning breakdown field;;;;Hungría;1994;;;;;HOGBERG R, FRANCISCO JOSE ROMAN CAMPOS, ERK LOTBERG,;;;1;;;;;
0000228958;177;8;Comparison of The Breakdown Voltage of two Insulating Columns Using The Simple Stress Method;;;;Brasil;2001;;;;;MARLEY BECERRA GARCIA, BEJARANO LILIANA, ROMERO ANDRES, FRANCISCO JOSE ROMAN CAMPOS,;;Universidad De Sao Paulo;1;;;;;
0000228958;178;8;Obtaining the electrical parameters of the predischarge in air by using digitized voltage waveforms;;;;México;2002;;;;;FRANCISCO JOSE ROMAN CAMPOS, MARLEY BECERRA GARCIA,;;;1;;;;;
0000228958;179;8;Digital Parameter Identification for Metal-Oxide Surge Arrester Models;;;;Brasil;2003;;;;;FRANCISCO JOSE ROMAN CAMPOS, MARLEY BECERRA GARCIA,;;Institute Of Electrotechnics And Energy Of The University Of Sao Paulov.7                    fasc.N/A                    p.1                    -                     ,2003,                     DOI:;7;;;;;
0000228958;180;8;Metodología para la evaluación de pérdidas corona en líneas de transmisión;;;;Colombia;1990;;;;;FRANCISCO JOSE ROMAN CAMPOS, GUSTAVO CASTILLO,;;Universidad Nacional de Colombia;1;;;;;
0000228958;181;8;The Principle of Operation of a single Electrostatic field Measuring Device;;;;Países Bajos;1997;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;;40;;;;;
0000228958;182;8;Untersuchung der Impulsformung am Wasserisolierten Generator PIMPF;;;;Alemania;1982;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;;fasc.                    p.                    -                     ,1982,                     DOI: Palabras:                                                             generator,                                                                                                    Sectores:                                                                 Producción y distribución de electricidad y gás - Producción y distribución de energía eléctrica,;;;;;
0000439185;1;0;;E3;II CONGRESO INTERNACIONAL INDUSTRIA Y ORGANIZACIONES - Logística, Innovación y Desarrollo Tecnológico;;BOGOTÁ, D.C.   - AUDITORIO ALFONSO PUMAREJO-UNIVERSIDAD NACIONAL DE COLOMBIA-SEDE BOGOTA;2015;Internacional;;;;WILSON ADARME JAIMES;Organizador , Ponente magistral;;;;;;Universidad Nacional De Colombia - Oficial;Gestionador
0000439185;2;5;LOGÍSTICA PARA LA COMPETITIVIDAD NACIONAL;E3;I CONGRESO INTERNACIONAL INDUSTRIA Y ORGANIZACIONES - LOGÍSTICA PARA LA COMPETITIVIDAD;;BOGOTÁ, D.C.   - AUDITORIO ALFONSO LÓPEZ PUMAREJO, CAMPUS UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTÁ;2014;Internacional;;;;CARLOS OSORIO RAMIREZ, CATHERINE BALLESTEROS GOMEZ, CRISTIAN CAMILO PENALOZA CESPEDES, IVAN DARIO CARDENAS BARBOSA, JAIRO ENRIQUE PARRA HERRERA, JUAN PABLO CASTRELLON TORRES, WILSON ADARME JAIMES;Organizador , Ponente, Organizador, Asistente , Organizador, Organizador, Organizador, Asistente , Organizador , Ponente, Asistente , Organizador , Ponente magistral;;;;;;Universidad Nacional De Colombia - Oficial;Patrocinador
0000439185;3;6;FREIGHT CONSOLIDATION: A COORDINATION MECHANISM IN SUPPLY CHAIN OF PERISHABLES;E3;I CONGRESO INTERNACIONAL INDUSTRIA Y ORGANIZACIONES - LOGÍSTICA PARA LA COMPETITIVIDAD;;BOGOTÁ, D.C.   - AUDITORIO ALFONSO LÓPEZ PUMAREJO, CAMPUS UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTÁ;2014;Internacional;;;;CARLOS OSORIO RAMIREZ, CATHERINE BALLESTEROS GOMEZ, CRISTIAN CAMILO PENALOZA CESPEDES, IVAN DARIO CARDENAS BARBOSA, JAIRO ENRIQUE PARRA HERRERA, JUAN PABLO CASTRELLON TORRES, WILSON ADARME JAIMES;Organizador , Ponente, Organizador, Asistente , Organizador, Organizador, Organizador, Asistente , Organizador , Ponente, Asistente , Organizador , Ponente magistral;;;;;;Universidad Nacional De Colombia - Oficial;Patrocinador
0000439185;4;4;MODELO PARA LA OPERACIÓN ESTRATÉGICA, TÁCTICA Y OPERATIVA DE LA LOGÍSTICA DE DISTRIBUCIÓN DE MEDICAMENTOS DEL PROGRAMA DE SALUD PÚBLICA EN COLOMBIA;E3;I CONGRESO INTERNACIONAL INDUSTRIA Y ORGANIZACIONES - LOGÍSTICA PARA LA COMPETITIVIDAD;;BOGOTÁ, D.C.   - AUDITORIO ALFONSO LÓPEZ PUMAREJO, CAMPUS UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTÁ;2014;Internacional;;;;CARLOS OSORIO RAMIREZ, CATHERINE BALLESTEROS GOMEZ, CRISTIAN CAMILO PENALOZA CESPEDES, IVAN DARIO CARDENAS BARBOSA, JAIRO ENRIQUE PARRA HERRERA, JUAN PABLO CASTRELLON TORRES, WILSON ADARME JAIMES;Organizador , Ponente, Organizador, Asistente , Organizador, Organizador, Organizador, Asistente , Organizador , Ponente, Asistente , Organizador , Ponente magistral;;;;;;Universidad Nacional De Colombia - Oficial;Patrocinador
0000439185;5;2;Key Risk Indicators Framework for Supply Operations - Colombian Health Care Sector;E3;IX Hamburg International Conference of Logistics;;Hamburg   - Hamburg - Deutschland;2013;Internacional;;;;JUAN PABLO CASTRELLON TORRES, JUAN PABLO ZAMORA AGUAS, WILSON ADARME JAIMES;Ponente, Ponente, Ponente magistral;;;;;;Universidad Nacional De Colombia - Oficial;Patrocinador
0000439185;6;2;Key Performance Measures for Supply Chain Management from the Columbian Shipyard;E3;VII Hamburg International Conference of Logistics;;Alemania   -  Hamburg University of Technology;2011;Internacional;;;;JUAN PABLO CASTRELLON TORRES, MARTIN DARIO ARANGO SERNA, WILSON ADARME JAIMES;Ponente, Ponente, Ponente;;;;;;Universidad Nacional De Colombia - Oficial;Patrocinador
0000439185;7;2;Integration of Analytical Techniques for Service Management Logistical coordination at the Columbian Shipbuilding Industry;E3;VII Hamburg International Conference of Logistics;;Alemania   -  Hamburg University of Technology;2011;Internacional;;;;JUAN PABLO CASTRELLON TORRES, MARTIN DARIO ARANGO SERNA, WILSON ADARME JAIMES;Ponente, Ponente, Ponente;;;;;;Universidad Nacional De Colombia - Oficial;Patrocinador
0000439185;8;1;RED TEMÁTICA DE OPTIMIZACIÓN DE PROCESOS INDUSTRIALES;;;;Ciudad de México;;;;;;;;;;;;;;;
0000439185;9;8;La gestión operativa un enfoque pragmático con sentido humano;;;;Colombia;2002;;;;;WILSON ADARME JAIMES, ISMAEL GRANADOS,;;Unibiblos Universidad Nacional De Colombia;1;;;;;
0000439185;10;8;Mejora continua en procesos limpios a través de un programa de orden y aseo;;;;Colombia;2003;;;;;WILSON ADARME JAIMES, LUIS EDUARDO ORDONEZ,;;;1;;;;;
0000439185;11;8;Desde los procesos, bajo un enfoque sistémico, como mejorar en ambientes turbulentos y sin traumatismos;;;;Colombia;2003;;;;;WILSON ADARME JAIMES,;;Unibiblos Universidad Nacional De Colombia;4;;;;;
0000439185;12;8;Stochastic mathematical model for vehicle routing problem in collecting perishable products;;;;Colombia;2015;;;;;WILSON ADARME JAIMES, JAVIER ARTURO ORJUELA CASTRO, ELSA CRISTINA GONZALEZ LA ROTTA,;;Universidad Nacional de Colombia;82;;http://dx.doi.org/10.15446/dyna.v82n189.48549;;;
0000439185;13;8;A hybrid metaheuristic algorithm for the capacitated location routing problem;;;;;2015;;;;;WILSON ADARME JAIMES, JOHN WILLMER ESCOBAR VELASQUEZ, RODRIGO LINFATI,;;Universidad Nacional de Colombia;82;;http://dx.doi.org/10.15446/dyna.v82n189.48552;;;
0000439185;14;8;AN ALGORITHM FOR THE ROUTING PROBLEM WITH SPLIT DELIVERIES AND TIME WINDOWS (SDVRPTW) APPLIED ON RETAIL SME DISTRIBUTION ACTIVITIES;;;;Colombia;2014;;;;;WILSON ADARME JAIMES, JOHN WILLMER ESCOBAR VELASQUEZ, JUAN CAMILO SEPULVEDA SANCHEZ,;;Universidad Nacional de Colombia;81;;;;;
0000439185;15;8;LOGÍSTICA DE DISTRIBUCIÓN DE PRODUCTOS PERECEDEROS: ESTUDIOS DE CASO FUENTE DE ORO (META) Y VIOTÁ (CUNDINAMARCA);;;;Colombia;2014;;;;;WILSON ADARME JAIMES, MARTHA LILIANA REINA USUGA,;;Produmedios;8;;;;;
0000439185;16;8;COORDINACIÓN DE INVENTARIOS: UN CASO DE ESTUDIO PARA LA LOGÍSTICA DE CIUDAD;;;;Colombia;2014;;;;;WILSON ADARME JAIMES, OSCAR PALACIO LEON,;;Universidad Nacional de Colombia;81;;;;;
0000439185;17;8;COMPORTAMIENTOS LOGÍSTICOS EN LA DISTRIBUCIÓN DE ÚLTIMA MILLA DE PRODUCTOS ALIMENTICIOS EN VILLAVICENCIO, COLOMBIA;;;;Colombia;2014;;;;;WILSON ADARME JAIMES, IVAN DARIO CARDENAS BARBOSA, MARTIN DARIO ARANGO SERNA,;;ESCUELA DE INGENIERÍA DE ANTIOQUIA;11;;;;;
0000439185;18;8;IMPLEMENTING AN EVOLUTIONARY ALGORITHM FOR LOCATING CONTAINER YARDS OF A 3PL PROVIDER;;;;Colombia;2014;;;;;WILSON ADARME JAIMES, CARLOS OSORIO RAMIREZ, MARTIN DARIO ARANGO SERNA,;;Universidad Nacional de Colombia;81;;;;;
0000439185;19;8;MODEL FOR THE LOGISTICS DISTRIBUTION OF MEDICINES IN THE COLOMBIAN PUBLIC HEALTH PROGRAM;;;;Colombia;2014;;;;;WILSON ADARME JAIMES, JAIRO HUMBERTO TORRES ACOSTA, JUAN PABLO CASTRELLON TORRES,;;Universidad Nacional de Colombia;81;;;;;
0000439185;20;8;EFECTOS DE LA INFRAESTRUCTURA REGIONAL Y LOS SERVICIOS EN EL DESEMPEÑO DE LA CADENA DE SUMINISTRO: CASO CIUDAD JUÁREZ;;;;Colombia;2014;;;;;WILSON ADARME JAIMES,;;Universidad Nacional de Colombia;81;;;;;
0000439185;21;8;SERVICE QUALITY MANAGEMENT BASED ON THE APPLICATION OF THE ITIL STANDARD;;;;Colombia;2014;;;;;WILSON ADARME JAIMES,;;Universidad Nacional de Colombia;81;;;;;
0000439185;22;8;COORDINACIÓN DE INVENTARIOS EN LA RECOLECCIÓN DE LECHE CRUDA. CASO REGIÓN SUGAMUXI - COLOMBIA;;;;Colombia;2014;;;;;WILSON ADARME JAIMES, CESAR HERNANDO GUZMAN CAMACHO, HUGO FELIPE SALAZAR SANABRIA,;;Universidad Nacional de Colombia;81;;;;;
0000439185;23;8;Freight consolidation as a coordination mechanism in perishable supply chains: A simulation study;;;;Colombia;2015;;;;;JUAN PABLO CASTRELLON TORRES, WILSON ADARME JAIMES,;;Universidad Nacional de Colombia;82;;http://dx.doi.org/10.15446/dyna.v82n189.48551;;;
0000439185;24;8;Medición del desempeño para cadenas de abastecimiento en ambientes de imprecisión utilizando lógica difusa;;;;Colombia;2012;;;;;JUAN MIGUEL COGOLLO FLOREZ, WILSON ADARME JAIMES, MARTIN DARIO ARANGO SERNA,;;Editorial Pontificia Universidad Javeriana;16;;;;;
0000439185;25;8;Modelo para la coordinación de agentes en un sistema logístico de la industria astillera colombiana;;;;Colombia;2011;;;;;WILSON ADARME JAIMES, MARTIN DARIO ARANGO SERNA, DELIO ALEXANDER BALCAZAR CAMACHO,;;Universidad Nacional de Colombia;31;;;;;
